"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.67281076632081,0.378,0.005,0,"10","CDCA5"
0,6.62595395798775,0.313,0.003,0,"10","HJURP"
0,6.59696972172057,0.506,0.02,0,"10","HIST1H1B"
0,10.881001507199,0.308,0,0,"11","ADAMTS18"
0,9.67830413492078,0.905,0.005,0,"11","ACKR1"
0,9.01851472459844,0.425,0.001,0,"11","RSPO3"
0,8.43774165691521,0.385,0.001,0,"11","RAB3C"
0,7.92633091169288,0.723,0.005,0,"11","SELP"
0,7.9243959750574,0.499,0.003,0,"11","GPM6A"
0,7.48725129526115,0.275,0.002,0,"11","PTGIS"
0,7.34997299242046,0.359,0.002,0,"11","FLRT2"
0,7.03865676582495,0.394,0.004,0,"11","LHX6"
0,6.74225075839025,0.308,0.004,0,"11","SEMA3D"
0,2.1516307468058,0.534,0.123,0,"12","MSR1"
2.90362749089354e-244,2.12941102551787,0.368,0.085,9.73818587895876e-240,"12","FCGR1A"
1.68229378570385e-137,2.02892505913401,0.442,0.177,5.64207689849358e-133,"12","LRRC75A"
1.70501402658999e-283,1.97459129796668,0.424,0.097,5.71827604237752e-279,"12","TREM2"
1.26726206350846e-259,1.97128831461633,0.39,0.09,4.25014350859466e-255,"12","OLR1"
2.95864900095673e-181,1.88797546762211,0.35,0.094,9.92271701940867e-177,"12","LILRB4"
9.91498986437333e-164,1.8808586156906,0.312,0.083,3.32528930071353e-159,"12","PLD4"
6.26391447863637e-205,1.87587152862194,0.337,0.081,2.10079163784507e-200,"12","VSIG4"
1.96070164974121e-87,1.85932854937899,0.254,0.088,6.57580119290206e-83,"12","LRP2"
0,1.79761912676006,0.707,0.222,0,"12","APOC1"
2.72820906286847e-298,4.33293725271478,0.314,0.059,9.14986755504828e-294,"13","GSTA1"
2.13323634590828e-297,3.58347785315793,0.358,0.077,7.15444805690721e-293,"13","BBOX1"
0,3.54030999186698,0.384,0.076,0,"13","FABP6"
1.57261791675179e-179,3.45975696043077,0.275,0.068,5.27424596920217e-175,"13","FABP7"
0,3.11889801671468,0.571,0.154,0,"13","FXYD2"
2.38273931178718e-193,3.10274342367914,0.388,0.123,7.99123110387185e-189,"13","RIDA"
0,3.09433737069309,0.559,0.154,0,"13","CMBL"
0,3.0829361479842,0.916,0.37,0,"13","CYB5A"
1.2192275951237e-169,3.00427629040243,0.276,0.07,4.08904550852588e-165,"13","S100A1"
1.97657413486783e-179,2.94711925678497,0.312,0.085,6.62903433351973e-175,"13","ADSSL1"
0,5.66847099553712,0.282,0.027,0,"14","PKHD1"
0,5.57698892392409,0.312,0.033,0,"14","SULT1C2"
0,5.4606199552207,0.324,0.035,0,"14","SLC17A4"
0,5.45399275928041,0.425,0.058,0,"14","DNAH11"
0,5.01447313468733,0.403,0.059,0,"14","ALPK2"
0,4.97108564128865,0.712,0.182,0,"14","KCNQ1OT1"
6.13994187197511e-307,4.92541752753502,0.253,0.037,2.05921370502301e-302,"14","COL27A1"
7.31938711509819e-262,4.83870826875149,0.259,0.045,2.45477605066163e-257,"14","LPIN3"
0,4.5680031107024,0.419,0.088,0,"14","ABCC3"
0,4.53179169061993,0.466,0.088,0,"14","PAX8"
0,11.4345430626206,0.411,0,0,"15","IGLV3-1"
0,11.3013050390725,0.586,0.02,0,"15","IGHG1"
0,11.0933129680875,0.48,0.024,0,"15","IGHA2"
0,11.0735965281695,0.688,0.079,0,"15","IGLC2"
0,10.9885251006941,0.386,0.011,0,"15","IGHG2"
0,10.9078762259041,0.544,0.046,0,"15","IGLC3"
0,10.9010821200325,0.687,0.062,0,"15","IGHA1"
0,10.8918447515977,0.831,0.017,0,"15","JCHAIN"
0,10.4915291384006,0.876,0.225,0,"15","IGKC"
0,10.4047096031991,0.616,0.041,0,"15","IGHG4"
0,9.08371224898301,0.58,0.004,0,"16","VPREB3"
0,8.70874569642149,0.288,0.002,0,"16","FCRLA"
